,0
0,68.10436
1,68.162155
2,68.34519
3,68.51021
4,68.91066
5,69.775566
6,70.46347
7,69.594215
8,69.92019
9,70.08849
10,70.28626
11,69.19078
12,69.05778
13,69.679794
14,68.64511
15,68.81898
16,69.09574
17,69.34359
18,69.67826
19,69.95104
20,71.32361
21,70.10525
22,69.32377
23,68.92309
24,68.33945
25,67.53325
26,68.047455
27,68.806015
28,67.438446
29,67.55328
30,67.63121
31,67.53604
32,66.505226
33,65.623344
34,64.26131
35,63.07182
36,62.899963
37,62.267075
38,62.289074
39,61.77166
40,62.527485
41,62.994987
42,64.3942
43,64.41899
44,64.6115
45,65.10811
46,64.62826
47,64.889755
48,66.447205
49,67.135735
50,67.23288
51,67.6663
52,68.03415
53,67.36424
54,65.989876
55,64.24534
56,64.300705
57,64.61483
58,65.16049
59,65.89789
60,65.472466
61,65.212456
62,64.04994
63,65.12131
64,64.741776
65,64.827995
66,64.57598
67,64.0439
68,63.735363
69,63.819237
70,64.727455
71,64.63777
72,64.690735
73,64.847595
74,65.86202
75,68.211006
76,69.22258
77,68.94857
78,68.92806
79,68.737656
80,68.81599
81,68.48341
82,68.22051
83,69.22334
84,69.020226
85,68.875114
86,69.09528
87,68.875496
88,68.92426
89,65.964676
90,66.48347
91,66.545204
92,67.21923
93,67.6111
94,68.20118
95,70.43792
96,72.62845
97,71.550385
98,73.15951
99,72.595695
100,72.30765
101,71.8994
102,71.382195
103,73.87567
104,74.864746
105,74.60148
106,74.90221
107,74.40977
108,74.72527
109,75.999466
110,73.85072
111,75.52599
112,75.300705
113,75.35253
114,75.699554
115,75.84048
116,74.589935
117,73.066895
118,73.649826
119,74.83193
120,74.43577
121,74.36385
122,74.11751
123,73.44473
124,77.43757
125,78.30631
126,77.22707
127,77.01667
128,77.74655
129,78.09192
130,78.74348
131,78.25352
132,80.309006
133,78.07741
134,78.12688
135,78.28193
136,78.23359
137,80.110214
138,78.554596
139,78.863525
140,76.36664
141,75.83554
142,75.15584
143,75.06178
144,74.349915
145,75.799934
146,76.48983
147,74.40793
148,73.985115
149,73.635445
150,73.26156
151,72.635185
152,73.250725
153,75.42495
154,75.14338
155,74.75876
156,74.65261
157,74.55096
158,74.53327
159,74.986885
160,74.82602
161,71.82882
162,72.96328
163,73.93027
164,74.77277
165,74.4246
166,74.28928
167,72.72151
168,73.63275
169,73.21616
170,72.73941
171,73.06631
172,73.502716
173,76.1575
174,76.43661
175,77.30064
176,76.87918
177,76.90547
178,76.51365
179,75.62214
180,76.94672
181,77.05258
182,74.69308
183,75.54992
184,76.59299
185,77.05566
186,77.45615
187,74.96207
188,72.00703
189,74.076836
190,72.84975
191,71.95058
192,70.9735
193,70.52105
194,70.63521
195,72.07623
196,71.94817
197,72.3885
198,73.01667
199,73.39735
200,73.34405
201,73.90354
202,74.64892
203,74.78515
204,74.94959
205,75.002075
206,74.909195
207,73.89358
208,72.010605
209,72.953674
210,72.50349
211,72.472404
212,72.50369
213,72.33118
214,72.04737
215,70.51202
216,70.55616
217,71.02302
218,70.79625
219,70.630684
220,70.56421
221,70.547226
222,68.30522
223,69.19047
224,70.06618
225,70.49894
226,70.83118
227,70.99316
228,71.37476
