,0
398,61.163456
399,61.38641
400,61.266403
401,61.199024
402,61.291283
403,62.442722
404,63.39565
405,64.056694
406,65.747925
407,65.87956
408,66.019325
409,66.43302
410,65.95659
411,66.932304
412,66.94434
413,67.0216
414,65.92342
415,64.92606
416,63.989014
417,64.43634
418,65.61103
419,65.145615
420,63.592186
421,63.90049
422,64.08808
423,64.54432
424,64.3036
425,64.63602
426,64.94046
427,65.71411
428,65.51299
429,65.23149
430,65.09863
431,65.00734
432,66.00155
433,66.31804
434,66.0132
435,66.134735
436,66.53232
437,66.63281
438,67.11622
439,68.53254
440,68.31144
441,66.14153
442,66.59272
443,67.0003
444,67.28633
445,67.3895
446,67.22483
447,66.180916
448,67.85282
449,68.20969
450,68.89003
451,69.04855
452,69.53632
453,69.376465
454,69.873886
455,69.92595
456,70.356895
457,70.8301
458,71.05205
459,70.693596
460,71.86694
461,71.39861
462,71.41551
463,71.10753
464,71.15827
465,70.8186
466,70.57184
467,71.219574
468,70.67638
469,70.70375
470,70.666046
471,70.717094
472,70.615906
473,73.9441
474,73.69919
475,75.12439
476,70.70614
477,71.147964
478,71.030556
479,71.27817
480,71.85794
481,72.16226
482,70.58963
483,71.95789
484,71.86521
485,71.89631
486,71.94299
487,70.754616
488,70.9373
489,70.60041
490,71.53991
491,71.740135
492,72.051025
493,72.17867
494,71.99515
495,72.71681
496,74.629166
497,73.72587
498,73.49098
499,73.40051
500,72.87507
501,72.844154
502,71.92269
503,68.1307
504,67.767204
505,68.53537
506,69.1416
507,69.670876
508,70.12285
509,70.425156
510,69.37287
511,66.64387
512,65.42621
513,64.34451
514,63.276306
515,63.454937
516,62.334698
517,62.838627
518,64.01042
519,64.20043
520,64.28146
521,64.230095
522,63.45887
523,61.709694
524,62.996033
525,63.09841
526,62.81892
527,62.295708
528,62.60824
529,63.311203
530,63.00299
531,65.38339
532,65.96495
533,65.65566
534,65.2462
535,65.14537
536,66.059006
537,66.97971
538,66.83348
539,67.42547
540,66.6903
541,65.85111
542,65.19512
543,62.647045
544,63.868774
545,63.72473
546,64.02707
547,64.37768
548,64.716644
549,64.8092
550,64.40481
551,66.46558
552,67.49564
553,66.61163
554,66.58268
555,66.699425
556,66.98631
557,65.897865
558,63.80737
559,60.74347
560,60.92268
561,61.36755
562,61.635838
563,61.96097
564,62.15466
565,63.917545
566,63.551003
567,62.33942
568,62.387966
569,62.26944
570,62.425575
571,62.634266
572,64.04265
573,63.001278
574,61.101864
575,60.53669
576,59.94707
577,59.386948
578,58.657345
579,55.58407
580,56.251358
581,57.170532
582,57.259594
583,57.242676
584,57.327065
585,59.557854
586,58.19908
587,57.45035
588,58.7933
589,59.219475
590,59.62714
591,60.028088
592,59.02813
593,60.636486
594,59.890636
595,58.590527
596,58.61857
597,58.65569
598,58.676292
599,58.517647
600,60.49795
601,60.632263
602,61.019035
603,60.29067
604,59.440376
605,58.75221
606,58.004494
607,60.69971
608,62.75396
609,61.420418
610,62.232323
611,63.209747
612,64.2405
613,64.474495
614,63.228493
615,60.893993
616,61.300045
617,63.61459
618,65.83812
619,67.39449
620,64.21981
621,64.34014
622,64.76857
623,64.9869
624,64.77477
625,64.37491
626,64.54267
627,63.950256
628,62.383698
629,61.96132
630,62.23472
631,61.802444
632,61.379757
633,61.062355
634,60.054203
635,58.12228
636,57.91746
637,58.888638
638,59.08004
639,59.293697
640,59.500744
641,58.274925
642,59.7271
643,59.07667
644,60.31128
645,59.991154
646,59.296528
647,58.982674
648,59.174805
649,59.68772
650,59.443565
651,59.942245
652,59.694355
653,59.40527
654,59.213676
655,60.479576
656,60.658016
657,61.91072
658,62.097866
659,61.609844
660,61.139126
661,60.601997
662,61.140034
663,60.501827
664,59.47423
665,60.16315
666,60.924606
667,61.757442
668,62.55264
669,62.8111
670,62.307743
671,62.743404
672,62.008606
673,62.196655
674,62.478256
675,62.72793
676,62.147358
677,62.49199
678,62.49953
679,63.371727
680,63.196957
681,63.098278
682,62.851074
683,62.375042
684,63.92783
685,65.00484
686,64.815025
687,64.76636
688,64.79929
689,64.78223
690,64.82059
691,65.19716
692,64.764984
693,64.51078
694,64.0999
695,63.833996
696,63.390984
697,62.942467
698,65.42963
699,65.73412
700,66.43615
701,66.429924
702,66.26525
703,66.499084
704,66.52652
705,65.68632
706,66.73099
707,67.495705
708,67.7329
709,67.874466
710,68.06999
711,68.96858
712,69.16511
713,69.840294
714,68.637024
715,68.21931
716,67.93071
717,67.51332
718,69.11613
719,69.361725
720,69.40465
721,68.838554
722,68.64154
723,68.62196
724,68.306984
725,67.60658
726,67.49222
727,67.389114
728,68.351456
729,69.93997
730,70.29653
731,69.962685
732,68.16085
733,66.91398
734,66.6235
735,66.326706
736,65.44036
737,64.65468
738,64.23688
739,64.40839
740,63.304565
741,64.73359
742,64.04773
743,64.15456
744,64.59799
745,64.862686
746,63.52097
747,62.18037
748,61.294918
749,59.316597
750,58.984924
751,58.84916
752,58.518818
753,59.165936
754,59.491352
755,57.773922
