Date;vader;vader_average;watson;henry;Loughran-McDonald;average_sentiment;count;WTI
11.01.2018;0.446479736;0.071403397;-0.015696934;0.423418794;-0.196554144;0.14581017;57;63.81
12.01.2018;0.449472854;0.092407058;-0.078457781;0.397376409;-0.128675584;0.146424591;43;64.22
13.01.2018;-0.466026603;-0.1314551;-0.398703744;-0.2;-0.702941176;-0.379825325;5;
14.01.2018;0.264682024;0.036904182;-0.081570064;0.465688743;0.00347122;0.137835221;9;
15.01.2018;0.307011951;0.071706906;-0.117119279;0.391324541;-0.268394025;0.076906019;32;
16.01.2018;0.394333183;0.063282815;-0.067302785;0.458030957;-0.219361202;0.125796594;64;63.82
17.01.2018;0.163791379;0.034887554;0.001516728;0.407154406;-0.187221697;0.084025674;48;63.92
18.01.2018;0.190859471;0.034721094;-0.161851048;0.285153412;-0.257671559;0.018242274;52;63.96
19.01.2018;0.556649415;0.064482446;-0.110173329;0.331451883;-0.212087041;0.126064675;48;63.38
20.01.2018;5.0005E-05;-0.031852495;-0.129176285;0.448405253;-0.424192485;-0.027353201;2;
21.01.2018;-0.254146843;-0.064644378;-0.254349963;0.277084424;-0.323887242;-0.1239888;14;
22.01.2018;0.4326579;0.08509035;-0.042095675;0.395602306;-0.253792638;0.123492449;41;63.66
23.01.2018;0.577887613;0.094586225;0.040813638;0.395823926;-0.233847439;0.175052793;57;64.45
24.01.2018;0.430427356;0.086247662;-0.099946456;0.483788457;-0.137196517;0.1526641;51;65.69
25.01.2018;0.341945515;0.072973631;-0.122920265;0.438141895;-0.089902591;0.128047637;53;65.62
26.01.2018;0.523414841;0.104204331;-0.022389547;0.469540707;-0.105820604;0.193789946;32;66.27
27.01.2018;0.527452745;0.077950302;-0.40883444;0.342071206;-0.568183466;-0.00590873;6;
28.01.2018;0.422701094;0.093012145;-0.034442483;0.165328452;-0.310448649;0.067230112;17;
29.01.2018;0.474472009;0.072653012;-0.117143601;0.380492363;-0.290040268;0.104086703;57;65.71
30.01.2018;0.113885389;0.027826939;-0.331846347;0.183281263;-0.390181817;-0.079406915;50;64.64
31.01.2018;0.359209834;0.071747523;-0.182782133;0.309893024;-0.175295813;0.076554487;46;64.82
01.02.2018;0.557121814;0.129696191;-0.007367166;0.433709888;-0.081469115;0.206338322;59;65.92
02.02.2018;0.503121741;0.064366333;-0.208358601;0.33983801;-0.248682193;0.090057058;35;65.5
03.02.2018;0.01980198;-0.087470373;-0.532818375;0.474157303;-0.789473684;-0.18316063;2;
04.02.2018;-0.423835241;-0.089122868;-0.469809259;0.042495892;-0.54157226;-0.296368747;14;
05.02.2018;-0.110318927;-0.059434091;-0.291451373;0.114861057;-0.490853462;-0.167439359;38;64.18
06.02.2018;0.235434149;0.016681991;-0.241665677;0.139542599;-0.354597027;-0.040920793;66;63.48
07.02.2018;0.354559984;0.024983659;-0.106417307;0.333734499;-0.207796626;0.079812842;53;61.91
08.02.2018;0.151043676;0.010585624;-0.31653347;0.244501578;-0.430616873;-0.068203893;49;61.3
09.02.2018;0.02902251;-0.00671477;-0.343883261;0.229350567;-0.475336374;-0.113512266;51;59.2
10.02.2018;-0.309897656;-0.165951586;-0.575718512;0.031625933;-0.625376573;-0.329063679;3;
11.02.2018;0.021868854;-0.002879097;-0.386807519;0.169603926;-0.466243407;-0.132891449;9;
12.02.2018;0.406284025;0.048198014;-0.132371838;0.393466632;-0.237290248;0.095657317;53;59.41
13.02.2018;0.321920828;0.033689951;-0.262095289;0.317567015;-0.227297164;0.036757068;44;59.33
14.02.2018;0.372837284;0.068084684;-0.209082728;0.36432582;-0.141576422;0.090917728;56;60.7
15.02.2018;0.372850493;0.045833009;-0.161452261;0.466641738;-0.273441488;0.090086298;53;61.48
16.02.2018;0.466131979;0.069296099;-0.087625699;0.480949491;-0.237554297;0.138239514;41;61.89
17.02.2018;0.607040704;0.201096674;0.110234491;0.430555556;0.054799751;0.280745435;5;
18.02.2018;0.584628463;0.118717612;0.05092118;0.606808688;-0.294881866;0.213238815;10;
19.02.2018;0.429163505;0.064640996;-0.192749194;0.353386342;-0.201878342;0.090512661;34;
20.02.2018;0.268793008;0.045707948;-0.206960981;0.381386599;-0.333764429;0.031032429;62;61.91
21.02.2018;0.150581016;0.036111661;-0.229503135;0.364782456;-0.307681243;0.002858151;47;61.73
22.02.2018;0.56883605;0.092628716;-0.113702828;0.387202738;-0.268173909;0.133358154;48;62.72
23.02.2018;0.467858214;0.068021305;-0.007106771;0.42713336;-0.143911048;0.162399012;35;63.52
24.02.2018;0.184618462;0.020806388;-0.278721062;-0.013888889;-0.266666667;-0.070770353;6;
25.02.2018;0.292293515;0.018731437;-0.214542746;0.397673473;-0.220984027;0.05463433;14;
26.02.2018;0.704402873;0.135952982;0.050649739;0.446574194;-0.091546289;0.2492067;37;63.81
27.02.2018;0.401806181;0.040767833;-0.277024889;0.30544231;-0.220044512;0.050189384;50;62.94
28.02.2018;-0.031544331;-0.038659865;-0.333128355;0.234158241;-0.436945942;-0.12122405;51;61.43
01.03.2018;-0.086766304;-0.025122456;-0.296064668;0.242022545;-0.451480763;-0.123482329;59;60.98
02.03.2018;0.083928906;-0.003160973;-0.251136662;0.185353359;-0.410307419;-0.079064558;39;61.19
03.03.2018;-0.170917092;-0.063302881;-0.21429915;0.24159967;-0.570562771;-0.155496445;7;
04.03.2018;0.510679639;0.012411271;-0.304199878;0.126090907;-0.261049185;0.016786551;14;
05.03.2018;0.427559679;0.058433125;-0.205572233;0.387030792;-0.330240776;0.067442117;65;62.49
06.03.2018;0.38683305;0.077325947;-0.106566284;0.402908324;-0.298230225;0.092454162;71;62.54
07.03.2018;0.036384031;0.017316724;-0.237880716;0.221125897;-0.342840369;-0.061178887;51;61.09
08.03.2018;0.197606247;0.045730514;-0.18974813;0.360127191;-0.326651386;0.017412887;37;60.13
09.03.2018;0.525617946;0.093440084;0.015333234;0.470690069;-0.07380428;0.206255411;26;62.02
10.03.2018;0.9909991;0.226799373;-0.029463921;0.621428571;0.244444444;0.410841513;3;
11.03.2018;0.416661666;0.090345048;0.042035592;0.568402183;-0.224576535;0.178573591;10;
12.03.2018;0.252874005;0.060148059;-0.181636911;0.364317215;-0.428320412;0.013476391;39;61.35
13.03.2018;0.054299548;0.008665333;-0.191407356;0.248600819;-0.444143258;-0.064796983;51;60.69
14.03.2018;-0.021753338;0.018489947;-0.28093786;0.32495598;-0.344066073;-0.060662269;43;60.89
15.03.2018;0.024733846;0.000781877;-0.305183488;0.250245084;-0.443490791;-0.094582694;51;61.16
16.03.2018;0.196113897;0.054356031;-0.13459081;0.387940957;-0.30923563;0.038916889;35;62.29
17.03.2018;-0.403154601;-0.209331445;-0.427164036;-0.217997952;-0.338651824;-0.319259972;7;
18.03.2018;0.606669758;0.039394092;-0.312991684;0.29030584;-0.413391871;0.041997227;11;
19.03.2018;0.193014954;0.034705209;-0.236495187;0.15533418;-0.358429751;-0.042374119;46;62.01
20.03.2018;0.165796209;0.07483992;-0.257920522;0.26122452;-0.343914591;-0.019994893;54;63.37
21.03.2018;0.112885531;0.039259868;-0.228806571;0.296644213;-0.346303306;-0.025264053;66;65.1
22.03.2018;-0.055178018;0.002663098;-0.224991208;0.255389193;-0.363080794;-0.077039546;40;64.25
23.03.2018;0.056469283;0.01731782;-0.264482531;0.199919744;-0.300625167;-0.05828017;44;65.8
24.03.2018;-0.581858186;-0.212000922;-0.41813654;0.419642857;-0.346969697;-0.227864498;4;
25.03.2018;0.391269127;0.01405634;-0.138901679;0.406797505;-0.437634997;0.047117259;10;
26.03.2018;-0.074803132;0.017884836;-0.044555081;0.332435278;-0.223179345;0.001556511;46;65.49
27.03.2018;0.389322653;0.077475084;-0.077581874;0.45703693;-0.188199221;0.131610715;43;65.21
28.03.2018;0.062411326;0.024689242;-0.238965478;0.220209205;-0.32504391;-0.051339923;59;64.3
29.03.2018;0.081725246;0.021006085;-0.165056312;0.355446955;-0.270031054;0.004618184;41;64.87
30.03.2018;0.028592859;0.029929236;-0.092327147;0.51202381;0.022692863;0.100182324;10;
31.03.2018;0.99489949;0.158629966;0.14113956;0.5;0.074534161;0.373840635;2;
01.04.2018;0.346855738;0.084880583;-0.124579693;0.419129328;-0.278095589;0.089638073;19;
02.04.2018;-0.011707421;-0.015379298;-0.260386722;0.232911703;-0.473324296;-0.105577207;32;63.05
03.04.2018;0.075528605;0.026187093;-0.226595217;0.219784673;-0.252977323;-0.031614434;38;63.41
04.04.2018;0.032916335;0.018491528;-0.163026411;0.212817457;-0.401496005;-0.060059419;46;63.35
05.04.2018;0.321035877;0.068242139;-0.127200895;0.367742846;-0.318595063;0.062244981;53;63.53
06.04.2018;0.218177137;0.037745091;-0.179515809;0.272821307;-0.401173643;-0.010389183;47;62.03
07.04.2018;0.142064206;0.006760777;-0.447180541;0.366560606;-0.544127826;-0.095184556;10;
08.04.2018;-0.059455946;-0.026132987;-0.130716866;0.582443346;-0.351341991;0.002959111;10;
09.04.2018;0.018376306;0.040718266;-0.205766402;0.282577453;-0.40906513;-0.054631902;47;63.4
10.04.2018;0.00510215;0.010197347;-0.146249957;0.370605518;-0.362977433;-0.024664475;61;65.48
11.04.2018;-0.173630796;-0.036329114;-0.274977558;0.344021567;-0.431013473;-0.114385875;67;66.81
12.04.2018;0.084810176;0.033445668;-0.225837778;0.252525483;-0.250302911;-0.021071872;59;67.07
