id,Date,vader,watson,count,brent
93,2018-04-03,0.038511955,-0.232149895,38,69.02
94,2018-04-04,0.031044178,-0.16996676100000002,46,66.04
95,2018-04-05,0.083531678,-0.134803549,51,66.54
96,2018-04-06,0.049727837000000004,-0.18609672300000002,47,66.51
97,2018-04-07,0.019660658,-0.4479269,10,67.07000000000001
98,2018-04-08,-0.012259451000000001,-0.1383615,10,67.63
99,2018-04-09,0.052613005,-0.21177510600000002,47,68.19
100,2018-04-10,0.022995506000000002,-0.153556,61,70.67
101,2018-04-11,-0.022153772000000002,-0.27947759699999997,67,72.74
102,2018-04-12,0.045555677,-0.23140896600000002,59,71.44
103,2018-04-13,0.08671166300000001,0.027270514,37,73.18
104,2018-04-14,-0.020843446,-0.538398875,8,72.80333333333334
105,2018-04-15,0.052992199000000004,-0.0171152,10,72.42666666666666
106,2018-04-16,0.024177652999999997,-0.23036101899999997,52,72.05
107,2018-04-17,0.013806411000000001,-0.148408548,42,71.71
108,2018-04-18,0.061158625999999994,0.025332767000000003,60,73.73
109,2018-04-19,0.051655201,-0.12202882400000001,68,74.85
110,2018-04-20,0.066856302,-0.306474849,86,74.62
111,2018-04-21,0.131880835,-0.11895966699999999,3,74.59333333333333
112,2018-04-22,0.018787532,-0.270431647,17,74.56666666666668
113,2018-04-23,0.069119691,-0.138714085,71,74.54
114,2018-04-24,0.086615834,-0.068616098,51,75.86
115,2018-04-25,0.017432223,-0.312023404,52,73.79
116,2018-04-26,0.095566828,0.12561576900000002,65,75.39
117,2018-04-27,0.098435824,-0.082619195,41,75.33
118,2018-04-28,0.121882571,0.207990667,3,75.52666666666667
119,2018-04-29,0.11571798300000001,-0.028031611,18,75.72333333333333
120,2018-04-30,0.114618964,-0.123092845,58,75.92
121,2018-05-01,0.07392512400000001,-0.069155413,46,74.85
122,2018-05-02,0.051099944,-0.158021196,56,73.14
123,2018-05-03,0.046658922,-0.36130135,40,73.45
124,2018-05-04,0.063974966,-0.258622036,28,74.75
125,2018-05-05,0.1103795,0.0373035,2,74.60249999999999
126,2018-05-06,0.05546486900000001,-0.309733769,13,74.455
127,2018-05-07,0.068617316,-0.18652768100000003,69,74.3075
128,2018-05-08,0.037240675,-0.353731302,96,74.16
129,2018-05-09,0.052729757,-0.2213913,120,77.6
130,2018-05-10,0.053662403,-0.222654685,73,77.59
131,2018-05-11,0.039988361,-0.208532878,49,77.37
132,2018-05-12,0.09156719699999999,-0.062737,5,77.63666666666667
133,2018-05-13,0.09447311,-0.16337088,25,77.90333333333334
134,2018-05-14,0.06923053400000001,-0.23041648,75,78.17
135,2018-05-15,0.062079839000000005,-0.16745881199999998,69,78.94
136,2018-05-16,0.025419839,-0.164476871,70,78.19
137,2018-05-17,0.058624975,-0.08375173400000001,64,80.09
138,2018-05-18,0.100919371,-0.09367912699999999,55,78.38
139,2018-05-19,0.063717563,-0.36945079999999997,5,78.36666666666666
140,2018-05-20,-0.008235822,-0.24063025,16,78.35333333333334
141,2018-05-21,0.034684158,-0.156364421,57,78.34
142,2018-05-22,0.044700512000000005,-0.205193672,61,80.42
143,2018-05-23,0.021012865,-0.390002034,59,78.69
144,2018-05-24,0.038911056,-0.31003561399999996,70,78.9
145,2018-05-25,0.056787075,-0.36565289,73,76.6
146,2018-05-26,0.066257574,-0.11263669999999999,10,76.0775
147,2018-05-27,0.032853874,-0.303554929,14,75.555
148,2018-05-28,0.008947001,-0.323188258,31,75.0325
149,2018-05-29,0.04040044,-0.269008776,49,74.51
150,2018-05-30,0.124883077,-0.079799459,61,75.89
151,2018-05-31,0.06778875599999999,-0.17848182,50,76.45
152,2018-06-01,0.11076166300000001,-0.096763528,36,74.54
153,2018-06-02,0.032814773,-0.503376833,6,74.16333333333334
154,2018-06-03,0.12299988099999999,-0.001104,15,73.78666666666666
155,2018-06-04,0.081015515,-0.2006255,44,73.41
156,2018-06-05,0.075540893,-0.220497778,45,72.91
157,2018-06-06,0.06774077099999999,-0.103375291,55,73.23
158,2018-06-07,0.082330334,-0.151109537,54,75.23
159,2018-06-08,0.038684477,-0.203939051,39,75.11
160,2018-06-09,0.10537745300000001,-0.1148788,5,74.93333333333334
161,2018-06-10,-0.015461908,-0.4224155,12,74.75666666666666
162,2018-06-11,0.076707207,-0.08329062200000001,37,74.58
163,2018-06-12,0.043876427,-0.143796438,48,74.86
164,2018-06-13,0.088951251,-0.22118422899999998,48,75.07
165,2018-06-14,0.096428496,-0.303958061,49,74.77
166,2018-06-15,-0.006331478000000001,-0.286959957,46,72.02
167,2018-06-16,0.0058001419999999995,-0.175831667,3,72.97
168,2018-06-17,-0.022620172999999997,-0.41575318200000005,12,73.92
169,2018-06-18,-0.015476311000000001,-0.37954135299999997,68,74.87
170,2018-06-19,-0.044772941,-0.40754503299999995,60,74.92
171,2018-06-20,0.018242774,-0.295157966,59,74.25
172,2018-06-21,0.052431411,-0.281808442,77,72.87
173,2018-06-22,0.007005949,-0.257917,77,73.67
174,2018-06-23,0.208602605,-0.1224695,10,73.38666666666667
175,2018-06-24,0.038238655,-0.352773667,12,73.10333333333332
176,2018-06-25,-0.010299451,-0.28123400000000004,54,72.82
177,2018-06-26,0.017270324,-0.27788429,62,73.58
178,2018-06-27,-0.022920847999999997,-0.278328875,56,76.09
179,2018-06-28,0.009806415,-0.284880238,42,76.26
180,2018-06-29,0.044101892999999996,-0.220910935,46,77.44
181,2018-06-30,0.14240328300000002,-0.33426300000000003,7,77.19666666666666
182,2018-07-01,0.02247829,-0.44023096,25,76.95333333333333
183,2018-07-02,-0.002640605,-0.378201625,48,76.71
184,2018-07-03,0.042307440999999994,-0.16986410899999999,46,75.87
185,2018-07-04,-0.072515646,-0.347001926,27,76.99
186,2018-07-05,-0.036615587000000005,-0.405359896,48,77.09
187,2018-07-06,0.005132914000000001,-0.265999,38,74.98
188,2018-07-07,-0.060925139,-0.45859025,4,75.68
189,2018-07-08,0.014625643999999998,-0.200053538,13,76.38
190,2018-07-09,0.025638511,-0.132018609,46,77.08
191,2018-07-10,0.061585554,-0.08389841699999999,60,77.8
192,2018-07-11,-0.049026154,-0.46035788200000005,51,75.35
193,2018-07-12,-0.00922833,-0.321369959,49,72.11
194,2018-07-13,0.043597763,-0.201638605,38,74.11
195,2018-07-14,0.024099874,-0.469776,6,73.08333333333333
196,2018-07-15,0.000345269,-0.398193444,9,72.05666666666667
197,2018-07-16,0.042151775,-0.219762423,52,71.03
198,2018-07-17,0.041124994,-0.257155523,44,70.87
199,2018-07-18,0.065915399,-0.176292425,40,70.52
200,2018-07-19,0.026234494,-0.23628831600000003,38,71.94
201,2018-07-20,0.04922697,-0.124294098,41,71.99
202,2018-07-21,0.144730699,-0.0062645,2,72.47666666666666
203,2018-07-22,0.025414932999999997,-0.44363316700000005,12,72.96333333333334
204,2018-07-23,-0.00036356699999999997,-0.184176883,60,73.45
205,2018-07-24,0.043359664000000006,-0.111555263,38,73.53
206,2018-07-25,0.048890329,-0.15957342900000002,28,73.67
207,2018-07-26,0.057358303,-0.072104356,45,74.51
208,2018-07-27,0.042140786,-0.09792862199999999,45,74.84
209,2018-07-28,0.055848866,0.1551992,5,74.89
210,2018-07-29,0.048806913,-0.18075433300000002,9,74.94
211,2018-07-30,0.018638151999999998,-0.244213656,32,74.99
212,2018-07-31,0.072131584,-0.172496733,45,74.16
213,2018-08-01,0.056928522,-0.15900699999999998,48,72.28
214,2018-08-02,0.032855711,-0.227015932,44,72.95
215,2018-08-03,0.031999,-0.186414971,35,72.48
216,2018-08-04,-0.046534524,-0.5651010000000001,2,72.49000000000001
217,2018-08-05,0.051184503,-0.185531625,8,72.5
218,2018-08-06,-0.05098731,-0.394513526,38,72.51
219,2018-08-07,0.035420888,-0.165978694,49,72.31
220,2018-08-08,0.028607202999999998,-0.274740295,61,70.71
221,2018-08-09,0.03842773,-0.249540596,47,70.55
222,2018-08-10,-0.020442405,-0.396503027,37,71.0
223,2018-08-11,-0.000259244,-0.5022835,4,70.87333333333333
224,2018-08-12,-0.050936021,-0.5344022860000001,14,70.74666666666667
225,2018-08-13,0.025302317,-0.268871136,44,70.62
226,2018-08-14,0.023593141,-0.24751705899999998,34,70.77
227,2018-08-15,-0.044076912,-0.440786341,44,68.38
228,2018-08-16,0.051458488,-0.079167139,36,69.21
229,2018-08-17,-0.012370623,-0.37459408,25,70.14
230,2018-08-18,-0.132044464,-0.56162525,4,70.46333333333334
231,2018-08-19,0.036682189,-0.47103725,8,70.78666666666666
232,2018-08-20,-0.044382532999999995,-0.35936390700000004,43,71.11
233,2018-08-21,0.006099364,-0.257277767,43,71.65
234,2018-08-22,0.006112385,-0.28818785399999997,41,72.96
235,2018-08-23,0.021098033,-0.348763605,38,73.73
236,2018-08-24,0.062379714,-0.196926923,26,74.41
237,2018-08-25,0.090156084,-0.171535333,3,74.41
238,2018-08-26,0.070826233,-0.246094636,11,74.41
239,2018-08-27,0.10712278,-0.054987692000000005,39,74.41
240,2018-08-28,0.02932119,-0.22963850000000002,44,75.91
241,2018-08-29,0.015884601,-0.297105108,37,76.07
242,2018-08-30,0.034419578,-0.18119136800000002,38,77.05
243,2018-08-31,-0.004780446,-0.296630838,37,76.94
244,2018-09-01,0.04024,0.46323800000000004,1,77.23
245,2018-09-02,0.034218775,-0.42349525,8,77.52
246,2018-09-03,-0.026256892,-0.331173857,21,77.81
247,2018-09-04,-0.064659645,-0.423113233,30,77.51
248,2018-09-05,-0.00917417,-0.255580612,49,76.68
249,2018-09-06,-0.065507574,-0.3914534,25,75.67
250,2018-09-07,0.018314404,-0.29570492600000003,27,75.55
251,2018-09-08,-0.11695158300000001,-0.524971,4,75.95666666666666
252,2018-09-09,0.005838581,-0.141965923,13,76.36333333333333
253,2018-09-10,0.045032194000000005,-0.179334368,38,76.77
254,2018-09-11,-0.032753767999999996,-0.24343266,47,78.22
255,2018-09-12,-0.010872685,-0.344163646,48,80.02
256,2018-09-13,-0.0008646410000000001,-0.275827342,38,77.66
257,2018-09-14,0.026032966,-0.11455817900000001,28,77.87
258,2018-09-15,-0.09191111099999999,-0.815204,1,77.98666666666666
259,2018-09-16,0.092324814,-0.167223375,8,78.10333333333334
260,2018-09-17,0.040663305,-0.178070282,39,78.22
261,2018-09-18,0.068466844,-0.179699644,45,79.25
262,2018-09-19,0.006418755,-0.22180840699999999,27,79.43
263,2018-09-20,0.04540055900000001,-0.16825212,50,79.03
264,2018-09-21,0.030591027000000003,-0.25069553699999997,41,78.9
265,2018-09-22,0.044340719,-0.563719833,6,79.56333333333333
266,2018-09-23,-0.002204678,-0.46371225,28,80.22666666666667
267,2018-09-24,-0.013131557,-0.23216314899999999,74,80.89
268,2018-09-25,0.030971692000000002,-0.25052224100000003,58,82.21
269,2018-09-26,0.068253574,-0.144197941,51,81.87
270,2018-09-27,0.028928053,-0.18465380399999998,51,81.54
271,2018-09-28,0.034249268,-0.198132767,30,82.72
272,2018-09-29,0.10907087,-0.0685722,5,83.46
273,2018-09-30,0.020267022,-0.281646368,19,84.2
274,2018-10-01,0.069934602,-0.09810128800000001,52,84.94
275,2018-10-02,-0.0081259,-0.277456489,45,85.63
276,2018-10-03,0.038513752000000005,-0.191132145,55,85.45
277,2018-10-04,0.031448614,-0.2375694,50,86.07
278,2018-10-05,0.02476082,-0.245056537,41,85.12
279,2018-10-06,0.0038541929999999997,-0.567511833,6,84.82000000000001
280,2018-10-07,-0.082033099,-0.178344,11,84.52
281,2018-10-08,0.062313781,-0.328051811,53,84.22
282,2018-10-09,0.026390524,-0.257640511,47,85.16
283,2018-10-10,0.003933473,-0.317028023,44,83.82
284,2018-10-11,-0.076886524,-0.546247409,66,81.35
285,2018-10-12,-0.032058337,-0.379614775,40,80.71
286,2018-10-13,-0.08346,-0.48297700000000005,1,80.77666666666666
287,2018-10-14,-0.136405375,-0.49126485,20,80.84333333333333
288,2018-10-15,-0.076715321,-0.42987268700000003,67,80.91
289,2018-10-16,-0.028003313999999998,-0.35252961,59,80.53
290,2018-10-17,0.0050229720000000005,-0.28680358699999997,46,79.91
291,2018-10-18,-0.00981057,-0.254964316,57,80.3
292,2018-10-19,-0.053991436,-0.35282594,50,80.38
293,2018-10-20,-0.007368735,-0.48216833299999995,6,80.40333333333334
294,2018-10-21,-0.112924475,-0.42748378600000003,14,80.42666666666666
295,2018-10-22,-0.081743307,-0.364922346,52,80.45
296,2018-10-23,-0.074974628,-0.40886242899999997,63,78.67
297,2018-10-24,-0.046518536,-0.375918625,56,77.34
298,2018-10-25,0.043833272,-0.281925682,44,77.3
299,2018-10-26,-0.033084287000000004,-0.337833625,40,77.4
300,2018-10-27,-0.26776341,-0.60263625,4,77.45333333333333
301,2018-10-28,0.016021369,-0.343268167,12,77.50666666666667
302,2018-10-29,-0.024503059,-0.323650459,37,77.56
303,2018-10-30,0.05399814,-0.154160673,49,75.68
304,2018-10-31,0.011523459,-0.240813434,53,74.84
305,2018-11-01,0.034813639,-0.264095652,46,71.25
306,2018-11-02,0.075300912,-0.215947743,35,71.11
