,0,1,2,3,4,5
0,59.38,58.55,57.93,60.227202392816544,60.21936803281307,60.44580166757107
1,58.55,57.93,60.68,59.37796517431736,59.52396675169468,59.66773810207844
2,57.93,60.68,62.7,58.57482689589262,58.88095041334629,58.973926968574524
3,60.68,62.7,61.28,57.94503957003355,58.36962273687124,58.30557036370039
4,62.7,61.28,62.18333333333333,60.70703340291977,60.64369728386402,60.90438627421856
5,61.28,62.18333333333333,63.08666666666666,62.95039419054985,62.78732418239117,62.911664627194405
6,62.18333333333333,63.08666666666666,63.99,61.40959299325943,61.517669073939324,61.66047131240368
7,63.08666666666666,63.99,64.67,62.1814864051342,62.0798671913147,62.06648900330067
8,63.99,64.67,63.02,63.20717499375343,62.9376560819149,63.06580103158951
9,64.67,63.02,60.76,64.10749477863311,64.22935213863849,64.38740836799144
10,63.02,60.76,61.24999999999999,64.78377831697463,64.93398537456989,64.96718486368655
11,60.76,61.24999999999999,63.64,62.883315987586975,63.238687000870705,63.22621444582939
12,61.24999999999999,63.64,66.03,60.47973010659218,60.881398431658745,60.85027047216892
13,63.64,66.03,68.42,61.02731642842293,61.075108669400215,61.18110158264637
14,66.03,68.42,65.59,63.57477311015129,63.490482590794564,63.29646553814411
15,68.42,65.59,64.29,65.9430012178421,65.89707208395004,65.48175155341625
16,65.59,64.29,64.25,67.7021974992752,68.0322615724802,67.4527432245016
17,64.29,64.25,65.23,64.56776157736778,65.22748028457164,64.70958518207073
18,64.25,65.23,65.04,63.63217712163925,64.11041692614555,63.693302057385445
19,65.23,65.04,64.85,63.79371834516525,63.761300705075264,63.52531243085861
20,65.04,64.85,64.66,64.84334696054458,64.83790469884872,64.63284654140472
21,64.85,64.66,64.13,64.75879723548888,64.62583634972572,64.49353564500808
22,64.66,64.13,62.41,64.67224792361259,64.58372335851192,64.62774389207362
23,64.13,62.41,62.08,64.50028557300567,64.57140738487243,64.58127307116985
24,62.41,62.08,62.48,63.95647836446762,64.13593440473079,64.10807772696018
25,62.08,62.48,61.98333333333333,62.126160271167755,62.57143863260746,62.44090581655502
26,62.48,61.98333333333333,61.48666666666666,61.82968608260155,62.11358297586441,62.090261868834496
27,61.98333333333333,61.48666666666666,60.99,62.25600222468376,62.37141964554787,62.30723079264164
28,61.48666666666666,60.99,60.06,61.88253230571747,61.85098538517952,62.121184579730034
29,60.99,60.06,57.92,61.47089038014412,61.57588032603264,61.63311082839966
30,60.06,57.92,58.01,61.04637492418289,61.27314393937588,61.2697245401144
31,57.92,58.01,59.13,60.112068511247635,60.296269602775574,60.11664005339146
32,58.01,59.13,59.24,57.77852265506983,58.48015915572643,58.415987759530545
33,59.13,59.24,59.35,57.77637918263674,58.20777945935726,57.975621610581875
34,59.24,59.35,59.46,58.96375499635935,59.01641395658255,58.90228251338005
35,59.35,59.46,58.14,59.13876751035452,59.05365758359432,58.99297276854515
36,59.46,58.14,59.7,59.280512295365334,59.384241126179695,59.57861366093159
37,58.14,59.7,59.08,59.5763591003418,59.70444797694683,59.82780026614666
38,59.7,59.08,60.59,58.24555419355631,58.56533943831921,58.64288267463446
39,59.08,60.59,59.99666666666667,59.620819754600525,59.80379993438721,59.67339090228081
40,60.59,59.99666666666667,59.40333333333334,59.00796490877867,59.33894202083349,59.280485845804215
41,59.99666666666667,59.40333333333334,58.81,60.46322346448898,60.72638813376427,60.70823527097702
42,59.40333333333334,58.81,59.19,59.87509313941002,60.036035544872284,59.97042793750763
43,58.81,59.19,59.3,59.46592266082764,59.43450428515673,59.40158780634403
44,59.19,59.3,59.35,58.90400120586157,59.027621693611145,59.1292303276062
45,59.3,59.35,59.96,59.283402174413204,59.45036397099495,59.604127965569496
